id_pesquisa,ano,sigla_uf,nome_municipio,cargo,data,data_referencia,instituto,contratante,orgao_registro,numero_registro,quantidade_entrevistas,margem_mais,margem_menos,tipo,turno,tipo_voto,id_cenario,descricao_cenario,id_candidato_poder360,nome_candidato,sigla_partido,condicao,percentual
9712,2022,,,presidente,2021-05-12,11-12.mai.2021,Datafolha,,,,2071.0,2.0,2.0,estimulada,1,votos totais,24290,cenário 1 - estimulado - 1ª turno,973,Lula,PT,0,41.0
9712,2022,,,presidente,2021-05-12,11-12.mai.2021,Datafolha,,,,2071.0,2.0,2.0,estimulada,2,votos totais,24292,cenário 1 - estimulado - 2ª turno,706,Bolsonaro,sem partido,0,32.0
9712,2022,,,presidente,2021-05-12,11-12.mai.2021,Datafolha,,,,2071.0,2.0,2.0,estimulada,2,votos totais,24292,cenário 1 - estimulado - 2ª turno,973,Lula,PT,0,55.0
9712,2022,,,presidente,2021-05-12,11-12.mai.2021,Datafolha,,,,2071.0,2.0,2.0,estimulada,1,votos totais,24290,cenário 1 - estimulado - 1ª turno,706,Bolsonaro,sem partido,0,23.0
9722,2022,,,presidente,2021-07-08,7-8.jul.2021,Datafolha,Folha de S..Paulo,,,2074.0,2.0,2.0,estimulada,2,votos totais,24378,cenário 1 - estimulado - 2º turno,973,Lula,PT,0,58.0
9722,2022,,,presidente,2021-07-08,7-8.jul.2021,Datafolha,Folha de S..Paulo,,,2074.0,2.0,2.0,estimulada,1,votos totais,24376,cenário 1 - estimulado - 1º turno,706,Bolsonaro,sem partido,0,25.0
9722,2022,,,presidente,2021-07-08,7-8.jul.2021,Datafolha,Folha de S..Paulo,,,2074.0,2.0,2.0,estimulada,2,votos totais,24378,cenário 1 - estimulado - 2º turno,706,Bolsonaro,sem partido,0,31.0
9722,2022,,,presidente,2021-07-08,7-8.jul.2021,Datafolha,Folha de S..Paulo,,,2074.0,2.0,2.0,estimulada,1,votos totais,24376,cenário 1 - estimulado - 1º turno,973,Lula,PT,0,46.0
9739,2022,,,presidente,2021-09-15,13-15.set.2021,Datafolha,,,,3667.0,2.0,2.0,estimulada,2,votos totais,24479,cenário 1 - estimulado - 2º turno,706,Bolsonaro,sem partido,0,31.0
9739,2022,,,presidente,2021-09-15,13-15.set.2021,Datafolha,,,,3667.0,2.0,2.0,estimulada,1,votos totais,24475,cenário 1 - estimulado - 1º turno,973,Lula,PT,0,44.0
9739,2022,,,presidente,2021-09-15,13-15.set.2021,Datafolha,,,,3667.0,2.0,2.0,estimulada,1,votos totais,24475,cenário 1 - estimulado - 1º turno,706,Bolsonaro,sem partido,0,26.0
9739,2022,,,presidente,2021-09-15,13-15.set.2021,Datafolha,,,,3667.0,2.0,2.0,estimulada,2,votos totais,24479,cenário 1 - estimulado - 2º turno,973,Lula,PT,0,56.0
9764,2022,,,presidente,2021-12-16,13-16.dez.2021,Datafolha,Folha de S.Paulo,,,3666.0,2.0,2.0,estimulada,2,votos totais,24663,cenário 1 - estimulado - 2º turno,706,Bolsonaro,PL,0,30.0
9764,2022,,,presidente,2021-12-16,13-16.dez.2021,Datafolha,Folha de S.Paulo,,,3666.0,2.0,2.0,estimulada,1,votos totais,24661,cenário 1 - estimulado - 1º turno,706,Bolsonaro,PL,0,22.0
