,Data,Média Positiva,Média Negativa
0,2022-10-1,4554.545454545455,12525.0
1,2022-10-2,5182.758620689655,11561.538461538461
2,2022-10-3,7515.0,11561.538461538461
3,2022-10-4,9452.830188679245,13184.21052631579
4,2022-10-5,11386.363636363636,15656.25
5,2022-10-6,13151.25,16700.0
6,2022-10-7,15761.797752808989,20937.31343283582
7,2022-10-8,17177.14285714286,24372.972972972973
8,2022-10-9,19105.93220338983,26523.529411764706
9,2022-10-10,21034.351145038167,27282.178217821784
10,2022-10-11,22962.5,30060.0
11,2022-10-12,25709.21052631579,33400.0
12,2022-10-13,27464.4578313253,36472.8
13,2022-10-14,29720.338983050846,39852.27272727273
14,2022-10-15,30517.76649746193,40080.0
15,2022-10-16,31255.045871559632,40080.0
16,2022-10-17,33040.08620689655,42349.723756906074
17,2022-10-18,33596.470588235294,46560.32608695652
18,2022-10-19,35125.46125461254,48815.38461538462
19,2022-10-20,35785.71428571428,52084.158415841586
20,2022-10-21,37332.58064516129,55110.0
21,2022-10-22,39364.28571428572,57095.94594594595
22,2022-10-23,40550.146627565984,61184.070796460175
23,2022-10-24,42100.84033613445,63686.4406779661
24,2022-10-25,42402.34375,66731.55737704918
25,2022-10-26,44974.68030690537,67635.0
26,2022-10-27,46992.05955334988,69881.18081180812
27,2022-10-28,50100.0,74235.76642335767
28,2022-10-29,52514.4578313253,78112.90322580645
